Time,Setpoint,Speed,Control,Load
26.403,10,10.1262,4.08108,-1.5
26.404,10,10.1262,4.08108,-1.5
26.405,10,10.1262,4.08107,-1.5
26.406,10,10.1262,4.08106,-1.5
26.407,10,10.1262,4.08105,-1.5
26.408,10,10.1262,4.08105,-1.5
26.409,10,10.1262,4.08104,-1.5
26.41,10,10.1261,4.08103,-1.5
26.411,10,10.1261,4.08102,-1.5
26.412,10,10.1261,4.08102,-1.5
26.413,10,10.1261,4.08101,-1.5
26.414,10,10.1261,4.081,-1.5
26.415,10,10.1261,4.08099,-1.5
26.416,10,10.1261,4.08099,-1.5
26.417,10,10.1261,4.08098,-1.5
26.418,10,10.1261,4.08097,-1.5
26.419,10,10.126,4.08096,-1.5
26.42,10,10.126,4.08096,-1.5
26.421,10,10.126,4.08095,-1.5
26.422,10,10.126,4.08094,-1.5
26.423,10,10.126,4.08093,-1.5
26.424,10,10.126,4.08092,-1.5
26.425,10,10.126,4.08092,-1.5
26.426,10,10.126,4.08091,-1.5
26.427,10,10.1259,4.0809,-1.5
26.428,10,10.1259,4.08089,-1.5
26.429,10,10.1259,4.08089,-1.5
26.43,10,10.1259,4.08088,-1.5
26.431,10,10.1259,4.08087,-1.5
26.432,10,10.1259,4.08086,-1.5
26.433,10,10.1259,4.08086,-1.5
26.434,10,10.1259,4.08085,-1.5
26.435,10,10.1259,4.08084,-1.5
26.436,10,10.1258,4.08083,-1.5
26.437,10,10.1258,4.08083,-1.5
26.438,10,10.1258,4.08082,-1.5
26.439,10,10.1258,4.08081,-1.5
26.44,10,10.1258,4.0808,-1.5
26.441,10,10.1258,4.0808,-1.5
26.442,10,10.1258,4.08079,-1.5
26.443,10,10.1258,4.08078,-1.5
26.444,10,10.1257,4.08077,-1.5
26.445,10,10.1257,4.08077,-1.5
26.446,10,10.1257,4.08076,-1.5
26.447,10,10.1257,4.08075,-1.5
26.448,10,10.1257,4.08074,-1.5
26.449,10,10.1257,4.08073,-1.5
26.45,10,10.1257,4.08073,-1.5
26.451,10,10.1257,4.08072,-1.5
26.452,10,10.1257,4.08071,-1.5
26.453,10,10.1256,4.0807,-1.5
26.454,10,10.1256,4.0807,-1.5
26.455,10,10.1256,4.08069,-1.5
26.456,10,10.1256,4.08068,-1.5
26.457,10,10.1256,4.08067,-1.5
26.458,10,10.1256,4.08067,-1.5
26.459,10,10.1256,4.08066,-1.5
26.46,10,10.1256,4.08065,-1.5
26.461,10,10.1255,4.08064,-1.5
26.462,10,10.1255,4.08064,-1.5
26.463,10,10.1255,4.08063,-1.5
26.464,10,10.1255,4.08062,-1.5
26.465,10,10.1255,4.08061,-1.5
26.466,10,10.1255,4.08061,-1.5
26.467,10,10.1255,4.0806,-1.5
26.468,10,10.1255,4.08059,-1.5
26.469,10,10.1255,4.08058,-1.5
26.47,10,10.1254,4.08058,-1.5
26.471,10,10.1254,4.08057,-1.5
26.472,10,10.1254,4.08056,-1.5
26.473,10,10.1254,4.08055,-1.5
26.474,10,10.1254,4.08055,-1.5
26.475,10,10.1254,4.08054,-1.5
26.476,10,10.1254,4.08053,-1.5
26.477,10,10.1254,4.08052,-1.5
26.478,10,10.1253,4.08052,-1.5
26.479,10,10.1253,4.08051,-1.5
26.48,10,10.1253,4.0805,-1.5
26.481,10,10.1253,4.08049,-1.5
26.482,10,10.1253,4.08048,-1.5
26.483,10,10.1253,4.08048,-1.5
26.484,10,10.1253,4.08047,-1.5
26.485,10,10.1253,4.08046,-1.5
26.486,10,10.1253,4.08045,-1.5
26.487,10,10.1252,4.08045,-1.5
26.488,10,10.1252,4.08044,-1.5
26.489,10,10.1252,4.08043,-1.5
26.49,10,10.1252,4.08042,-1.5
26.491,10,10.1252,4.08042,-1.5
26.492,10,10.1252,4.08041,-1.5
26.493,10,10.1252,4.0804,-1.5
26.494,10,10.1252,4.08039,-1.5
26.495,10,10.1251,4.08039,-1.5
26.496,10,10.1251,4.08038,-1.5
26.497,10,10.1251,4.08037,-1.5
26.498,10,10.1251,4.08036,-1.5
26.499,10,10.1251,4.08036,-1.5
26.5,10,10.1251,4.08035,-1.5
26.501,10,10.1251,4.08034,-1.5
26.502,10,10.1251,4.08033,-1.5
26.503,10,10.1251,4.08033,-1.5
26.504,10,10.125,4.08032,-1.5
26.505,10,10.125,4.08031,-1.5
26.506,10,10.125,4.0803,-1.5
26.507,10,10.125,4.0803,-1.5
